metricTons	gasName	state	year
696015.6	Biogenic CO2	IN	2011
12146691.949	Methane	OK	2011
3688966.68	Methane	AR	2011
9094722.78	Methane	WV	2011
31362.08	Nitrous Oxide	AK	2011
6410807.2	Biogenic CO2	WA	2011
942359.04	Methane	NE	2011
40718.1187	Nitrous Oxide	NV	2011
173041.781969123	Nitrous Oxide	CA	2010
222963.72	Methane	RI	2010
122763433.302	Carbon Dioxide	LA	2010
318705.73	Nitrous Oxide	TN	2010
48537.878	Nitrous Oxide	NV	2010
3300199.77	Methane	NC	2010
895823.25	Methane	WV	2010
3662831.160345	Methane	IL	2010
251283.52	Nitrous Oxide	WA	2010
129009489.854686	Carbon Dioxide	IL	2010
4206219.1	Biogenic CO2	MN	2010
5610610.7	Biogenic CO2	TX	2010
24874072.35098	Carbon Dioxide	NJ	2010
1396157.007	Methane	MS	2010
45981.8	Biogenic CO2	KS	2010
25267.48	Nitrous Oxide	NH	2011
276035.529	Methane	DE	2011
46249047.8	Carbon Dioxide	KS	2010
46267668.3	Carbon Dioxide	MN	2010
6209277.2	Carbon Dioxide	DE	2011
5555326.5	Carbon Dioxide	ME	2010
193281.59	Nitrous Oxide	MD	2010
455814.5	Carbon Dioxide	DC	2011
1106233.17	Methane	PR	2011
103875.9	Carbon Dioxide	VT	2011
109541.46	Methane	VT	2010
823394.92	PFCs	TX	2011
3602.495	HFCs	WA	2011
1571496.1	Biogenic CO2	OK	2011
11469.61	Sulfur Hexafluoride	WI	2011
131062.35	PFCs	UT	2011
1277.96	Nitrogen Triflouride	VT	2011
6290028	Carbon Dioxide	VI	2010
31119.96	Nitrogen Triflouride	AZ	2011
1686726.8	Biogenic CO2	ID	2010
93664.02	Fluorinated GHG Production (CO2)	MI	2011
6283	Biogenic CO2	DC	2010
3796	HFCs	MO	2011
898.64	Sulfur Hexafluoride	HI	2011
134.55	HFCs	NC	2011
